Deadline,App_link,App_email,App_JobID,Required_Docs,Other_Docs,Summary,Description
2024-11-30, ,scholar@sem.tsinghua.edu.cn, ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)","Evidence of research excellence, Evidence of teaching excellence","Applications for finance professors at all ranks are invited by Tsinghua SEM. Strong candidates in all fields, especially in Macro-Finance, Corporate Finance, Asset Pricing, Fin-tech, Financial Engineering, Digital Finance, Actuarial Science, and Insurance and Risk Management are encouraged to apply.","<p><strong>POSITIONS</strong></p>

<p>Professors at All Ranks</p>

<p> </p>

<p><strong>ABOUT THE ORGANIZATION</strong></p>

<p>Originally under the name “Tsinghua Xuetang”, Tsinghua University was founded in 1911 and is one of the most prestigious universities in China. Tsinghua University School of Economics and Management (SEM) was established in 1984, with Mr. ZHU Rongji as the founding dean. After 40 years of development, Tsinghua SEM has achieved remarkable results in talent cultivation, scientific research, social services, cultural heritage innovation and international exchanges and cooperation. It has taken the lead in obtaining the top two certifications of global management education AACSB and EQUIS and becomes a leading economics and management school in China. The school has about 6000 students in the undergraduate, doctoral, master’s, MBA and EMBA programs. Tsinghua SEM has a strong faculty team with about 150 full time faculty members.</p>

<p> </p>

<p><strong>POSITIONS SUMMARY</strong></p>

<p>The Department of Finance at Tsinghua SEM invites applications for all ranks. We are interested in strong candidates of all fields, and especially in those researching in the following fields:</p>

<p> </p>

<p>Macro-Finance, Corporate Finance, Asset Pricing, Fin-tech, Financial Engineering, Digital Finance, Actuarial Science, Insurance and Risk Management</p>

<p> </p>

<p>The School offers competitive salary, relocation allowance, housing allowance, research enabling funds and other fringe benefits. Applicants are expected to hold a Ph.D. degree in finance or a related field. Both highly-qualified entry-level candidates and experienced faculty with strong research records will be considered.</p>

<p> </p>

<p><strong>APPLICATION</strong></p>

<p>To apply, please send an application cover letter, CV (including a list of publications and working papers), three letters of reference (apart from tenured positions), evidence of research and teaching excellence, selected articles or working papers to scholar@sem.tsinghua.edu.cn .</p>

<p> </p>

<p>We will conduct interview at CICE meeting from December 14 to 15 in Shanghai this year. Screening of candidates will start immediately and will continue until the positions are filled. For best consideration, applicants are encouraged to submit their applications by November 30, 2024. Screening of candidates will start immediately and will continue until the positions are filled.</p>

<p> </p>
"
 ,https://facrecruit.hkust.edu.hk/,facultyhire@hkust-gz.edu.cn, ,Curriculum Vitae,,Open Rank Faculty Positions in Financial Technology Thrust at The Hong Kong University of Science and Technology (Guangzhou). Applicants must have PhD degrees in FinTech or related fields.,"<p><a name=""_Hlk116999047""></a><a name=""_Hlk116999047""><b>Open Rank Faculty Positions in Financial Technology Thrust, The Hong Kong University of Science and Technology (Guangzhou)</b></a></p>

<p><a name=""_Hlk150781053""><b>Department: Financial Technology Thrust, The Hong Kong University of Science and Technology (Guangzhou)</b></a></p>

<p> </p>

<p>In the rapidly changing environment of the 21st century, there is an increasing need to forge bridges across disciplines to address emerging challenges and problems.  Through its commitment to academic excellence, The Hong Kong University of Science and Technology (HKUST) has developed world-class strengths in many subjects over its short 30-year history.  With a strong track record of cultivating high end talents and nurturing future leaders for academia and industry, HKUST is well positioned to craft an innovative approach to cross-disciplinary education and research in its Guangzhou campus, The Hong Kong University of Science and Technology (Guangzhou) (HKUST(GZ)), and meet the needs of an ever-evolving world.</p>

<p> </p>

<p><b>About HKUST Guangzhou Campus [</b><a href=""https://hkust-gz.edu.cn/""><b>https://hkust-gz.edu.cn/</b></a><b>]</b></p>

<p> </p>

<p>HKUST(GZ) offers a unique educational environment with four trans-disciplinary hubs and sixteen thrust areas.  HKUST(GZ) offers superb research facilities, attracting top international faculty and students to conduct curiosity-driven and goal-oriented research to address the world’s pressing scientific and technological challenges. English is the medium of instruction and administration at HKUST(GZ).</p>

<p> </p>

<p>HKUST(GZ) is situated in Nansha District, Guangzhou, which is right in the center of the Greater Bay Area, one of the most vibrant and dynamic regions in the world, neighboring Shenzhen, Hong Kong, and Macao.</p>

<p> </p>

<p><b>Job Posting Details</b></p>

<p> </p>

<p>The Financial Technology Thrust of Society Hub of The Hong Kong University of Science and Technology (Guangzhou) invites applications for tenure-track/tenured positions at all ranks (Assistant Professor / Associate Professor / Professor) in all fields of FinTech. For more information about the Fintech Thrust, please visit <a href=""https://hkust-gz.edu.cn/academics/four-hubs/society-hub/financial-technology"">https://hkust-gz.edu.cn/academics/four-hubs/society-hub/financial-technology</a>.</p>

<p> </p>

<p>We seek talents in the cutting-edge research in FinTech. Applicants must have PhD degrees in FinTech or related fields, e.g., Computational Mathematics, Computer Science, Economics, Finance, Financial Engineering, Information Systems, Machine Learning, Mathematical Finance, Operations Research, Optimization, Probability, And Statistics.</p>

<p> </p>

<p>Areas of interest include but are not limited to:</p>

<p> </p>

<p>Blockchain technologies, smart contracts, and digital currencies</p>

<p> </p>

<p>Robo-advising, quantitative investing, and risk management</p>

<p> </p>

<p>Machine learning, artificial intelligence, and big data analytics in finance</p>

<p> </p>

<p>Technological innovations for financial services</p>

<p> </p>

<p>Regulatory issues and challenges in FinTech</p>

<p> </p>

<p>Digital economy and financial inclusion</p>

<p> </p>

<p><b>Remuneration and Conditions of Service</b></p>

<p> </p>

<p>Salary is highly competitive. Fringe benefits include annual leave, medical and dental benefits. Housing benefits will also be provided where applicable. Appointment at Professor rank will be on substantive basis. Appointment at Associate Professor may be with or without substantiation. Initial appointment for Assistant Professor or Associate Professor (without substantiation) will normally be on a three-year contract, renewable subject to mutual agreement.</p>

<p> </p>

<p><b>Application Procedure</b></p>

<p> </p>

<p>Please submit the application via the HKUST/HKUST(GZ) Recruitment System (<a href=""https://facrecruit.hkust.edu.hk/"" target=""_blank"">https://facrecruit.hkust.edu.hk/</a>).  You should first sign up to create your personal account.  </p>

<p>For more information, please visit the recruitment website (<a href=""https://gz-faculty-recruitment.hkust.edu.hk/"" target=""_blank"">https://gz-faculty-recruitment.hkust.edu.hk/</a>).</p>

<p>Review of applications will continue until all positions are filled.<br />
<br />
<a name=""_Hlk150782805"">For questions regarding the recruitment system or general inquiries, please reach us at </a><a href=""mailto:facultyhire@ust.hk"">facultyhire@</a>hkust-gz.edu.cn.  For Hub/Thrust specific questions, please address to Society Hub: <a href=""mailto:gzrecruitsoc@hkust-gz.edu.cn"">gzrecruitsoc@hkust-gz.edu.cn</a> or Fintech Thrust: <a href=""mailto:ftect@hkust-gz.edu.cn"">ftect@hkust-gz.edu.cn</a> with subject title of “Faculty Application to FTEC”.</p>
"
2024-12-15,www.facultyaffairs.ethz.ch,,,"Certificate of the highest degree, Curriculum Vitae, Job Market Paper/other papers, List of publications, References (3), Research Statement, Teaching Statement","Description of the leadership philosophy, Description of the three most important achievements","Applications are invited for a professorship in Sustainable Finance at ETH Zurich. The successful candidate is expected to conduct research, teach advanced finance courses, and lead a research group.","<p>The Department of Management, Technology and Economics (D-MTEC, www.mtec.ethz.ch) at ETH Zurich invites applications for the above-mentioned position.</p>

<p>The field of Sustainable Finance is a rapidly evolving interdisciplinary domain that combines the principles of finance with environmental, social, and governance (ESG) considerations. It seeks to integrate sustainability criteria into managerial decision-making processes, with the goal of promoting long-term economic growth, environmental protection, and social well-being. This professorship aims at bridging scientific research and managerial practice by generating evidence-based implications for decision makers in private and public organizations alike.</p>

<p>The candidate’s research is aimed at knowledge creation and transfer from a financial perspective, creating impact in areas such as the management of critical and limited resources, biodiversity, energy, or climate change. At the assistant professor level, commitment to teaching and the ability to lead a research group are expected. Furthermore, the successful candidate has demonstrated ability to teach advanced finance courses aimed at equipping future leaders in society with the scientific fundamentals of corporate finance and the trade-offs organizations have to make given limited financial resources, market dynamics or competitive forces.</p>

<p>Assistant professorships have been established to promote the careers of younger scientists. ETH Zurich implements a tenure track system equivalent to that of other top international universities.</p>

<p>ETH Zurich is an equal opportunity and family-friendly employer, values diversity, and is responsive to the needs of dual-career couples.</p>

<p><strong>Please apply online: www.facultyaffairs.ethz.ch</strong></p>

<p>Applications should include a curriculum vitae, a list of publications, top three papers (published or unpublished) for consideration of the committee, a statement of future research and teaching interests, a description of the leadership philosophy, a description of the three most important achievements, a certificate of the highest degree, and the names and contact information of three possible references. The letter of application should be addressed <strong>to the President of ETH Zurich, Prof. Dr. Joël Mesot. The closing date for applications is 15 December 2024.</strong></p>
"
,,programcoordinator@corpgov.law.harvard.edu,,"Cover Letter, Curriculum Vitae, Graduate Program Transcripts, Job Market Paper/other papers",,"The Program on Corporate Governance at Harvard Law School is seeking applications for Corporate Governance Post-Doctoral Fellowships from highly qualified candidates with graduate training in finance, economics, or accounting.","<p>The Program on Corporate Governance at Harvard Law School (HLS) is seeking applications for Corporate Governance Post-Doctoral Fellowships from highly qualified candidates with graduate training in finance, economics, or accounting.</p>

<p>Applications are considered on a rolling basis, and the start date is flexible. Appointments are for one year but the appointment period can be extended for additional one-year period/s (contingent on business needs and funding as are other Program positions).</p>

<p>Candidates should have completed (or largely completed the requirements for) a Ph.D. in finance, economics, or accounting, have significant experience in empirical research, and have an interest in corporate governance.</p>

<p>During the term of their appointment, Fellows will be in residence at HLS. They will be required to devote part of their time to work on research projects of the Program, depending on their skills, interests, and Program needs. Fellows will also be able to spend significant time on their own projects. The position will provide a competitive fellowship salary and Harvard University benefits.</p>

<p>Interested candidates should submit a CV, graduate program transcripts, any research papers that they have written, and a cover letter to the coordinator of the Program, at <a href=""mailto:programcoordinator@corpgov.law.harvard.edu"">programcoordinator@corpgov.law.harvard.edu</a>. The cover letter should describe the candidate’s experience, reasons for seeking the position, career plans, and the period during which they would like to work with the Program.</p>
"
2024-12-01,https://indiana.peopleadmin.com/postings/26433,KSBFIN@iu.edu,,,,"The Finance Department of the Kelley School of Business, Indiana University is seeking individuals to fill an open rank non-tenure track faculty position beginning fall 2025. Qualified candidates will have significant industry experience in one of the areas of security research, sales, trading, private wealth management, investment banking, real estate, corporate finance, and other fields.","<p>The Finance Department of the Kelley School of Business, Indiana University is seeking individuals to fill an open rank non-tenure track faculty position beginning fall 2025. The classification of this position is open depending on experience and will be at the Clinical or Lecturer classification.</p>

<p>Appointments at the clinical classification require a PhD, or doctoral degree completion by August 2025, in finance or related area and finance industry experience. Appointments at the lecturer classification require a minimum of a master's degree in finance or related fields at the time of hiring. Appointments at both classifications require five years or more industry experience, with priority given to candidates with an investment banking background.</p>

<p>Teaching duties of 18 credit hours a year will be primarily at the undergraduate level but may include graduate level courses. A portion of the teaching duties may include leading one of the Kelley School's undergraduate workshops or MBA-level academies. These workshops and academies prepare students for the competitive recruitment process for careers in security research, sales, trading, private wealth management, investment banking, real estate, corporate finance, and other fields. Qualified candidates will have significant industry experience in one of these areas. We are seeking individuals who have demonstrated success in working with various faculty and student groups and can manage relationships with our corporate partners. We expect that the successful candidate will grow into a leadership role in our teaching programs.</p>

<p>Interested individuals should review position requirements and apply at <a href=""https://indiana.peopleadmin.com/postings/26433"">https://indiana.peopleadmin.com/postings/26433</a></p>

<p>Applications received before December 1, 2024, will be given full consideration; however, applications will be accepted until the position is filled. Those desiring further information on these positions may contact: Chair of the Finance Department, <a href=""mailto:KSBFIN@iu.edu"">KSBFIN@iu.edu</a>.</p>

<p>Indiana University is an equal employment and affirmative action employer and a provider of ADA services. All qualified applicants will receive consideration for employment based on individual qualifications. Indiana University prohibits discrimination based on age, ethnicity, color, race, religion, sex, sexual orientation, gender identity or expression, genetic information, marital status, national origin, disability status or protected veteran status.</p>

<p> </p>
"
2025-11-30,,[sabrina@tongji.edu.cn](mailto:sabrina@tongji.edu.cn),,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (2-3), Teaching Statement",,"The School of Economics and Management at Tongji University invites applications for faculty positions in the Department of Economics and Finance starting no later than November 30, 2025.","<p>The School of Economics and Management at Tongji University invites applications for faculty positions at all ranks in Department of Economics and Finance starting no later than November 30, 2025. </p>

<p>JOB QUALIFICATIONS: Applicants must have a Ph.D. in economics and finance or related fields by August 31, 2025. Candidates for junior positions must demonstrate potential for publication in top-tier <a name=""_Hlk179326394"">economics and finance</a> journals. Applicants for senior positions should have a strong record of published research in premier economics and finance journals. Applicants with prior research experience on China’s capital markets or corporate finance issues will receive special consideration. We especially encourage seasoned assistant professors who have had early publication success to apply for associate professor positions.</p>

<p>ABOUT THE UNIVERSITY AND SCHOOL: Tongji University is one of the most reputable universities in China. Established in 1907, it is one of the leading public universities in the country with approximately 35,000 students. The School of Economics and Management is also a leading business school in China. The school is accredited by AACSB, EQUIS and AMBA. It is ranked 151-200 globally in the 2023 Soft Science World Class Discipline Ranking - Economics. For more information about the School, please visit the website <a href=""http://sem.tongji.edu.cn/semen/"" target=""_blank"">http://sem.tongji.edu.cn/semen/</a></p>

<p>The school will offer a highly supportive research environment that includes active senior colleagues, a low teaching load, and a start-up research fund. Salaries and benefits will be highly competitive and commensurate with qualifications. </p>

<p>APPLICATION PROCEDURE: Interested applicants should provide a cover letter, a curriculum vitae, sample research papers, evidence of teaching effectiveness (e.g., teaching evaluations), and two to three confidential letters of recommendation. Please submit application materials electronically to: <a href=""mailto:sabrina@tongji.edu.cn"">sabrina@tongji.edu.cn</a> </p>

<p>Review of applications will begin immediately until the positions are filled. For the convenience of our recruitment process, please specify in the E-mail title your name, graduation school and research area as follows, Zhangshan_Cornell_corporate_finance</p>
"
 ,https://ymcanyc.csod.com/ux/ats/careersite/1/home/requisition/2329?c=ymcanyc, , ,"Cover Letter, Curriculum Vitae",,The YMCA of Greater New York is seeking a Director of Financial Planning & Reporting who will support the Vice President of Finance/CAO and demonstrate a creative and analytical approach to problem-solving and/or decision support with analyses and reports.,"<p><strong>Salary: $135,000 - $140,000 annually</strong><br />
<br />
The YMCA of Greater New York is here for all New Yorkers – to empower youth, improve health, and strengthen community. Founded in 1852, today the Y serves a diverse population of more than half a million New Yorkers who learn, grow, and thrive through programs and services at our 24 branches. Community is the cornerstone of the Y. Together, we connect active, engaged New Yorkers to build stronger communities.<br />
<br />
To help fulfill our mission, we cultivate a culture of learning, leading, and collaboration to enhance community impact. Through our talented staff and “LEAP” career framework (Leadership, Empowerment, Accountability, Personal Growth), we are committed to a people-first approach that fosters trust, inclusion, growth, and development for all.<br />
<br />
The YMCA of Greater New York Association Office is seeking a Director of Financial Planning &amp; Reporting who will support the Vice President of Finance/CAO and demonstrate a creative and analytical approach to problem-solving and/or decision support with analyses and reports.  They will be responsible for working independently to develop the annual budget’s financial projections, modeling simulations, pro-forma budgets, and financial reports and may assume a team lead role. <br />
<br />
<u><strong>K</strong><strong><strong>ey Responsibilities:</strong></strong></u></p>

<ul>
	<li>Analyze data and create reports on an ongoing or ad-hoc basis utilizing Microsoft Excel or other software with a creative, analytical approach to problem-solving and/or decision support.</li>
	<li>Develop financial projections, modeling, and simulations along with pro forma budgets and financial reports independently.</li>
	<li>Obtain an in-depth knowledge of Oracle CONNECT, Workday, Salesforce, AS400, and other software programs as they apply.</li>
	<li>Under the direction of the CAO, supervises the budgeting process, which entails:
	<ul>
		<li>Monthly progress of individual branch budgets.</li>
		<li>Preparation of guidelines.</li>
		<li>Budget preparation and training.</li>
		<li>Analyze budget proposals.</li>
		<li>Budget reporting.</li>
	</ul>
	</li>
	<li>Directs the preparation of annual financial statements with the independent Certified Public Accountants.</li>
	<li>Internal and/or external compliance reporting relating to bonds, loans, and other areas as required.</li>
	<li>Work closely with branches and departments to ensure all needs are met.</li>
	<li>Other duties as assigned.</li>
</ul>

<p><u><strong>Desired Skills &amp; Experience:</strong></u></p>

<ul>
	<li>Certified Public Accountant preferred or equivalent experience.  MBA or master’s degree, preferably in Finance or a related field.</li>
	<li>Minimum of Four (4) years of previous experience in analytics.</li>
	<li>Knowledge of Accounting &amp; Finance and advanced Excel application skills.</li>
	<li>Experience collecting &amp; analyzing data.</li>
	<li>Excellent project management &amp; organizational skills.</li>
	<li>Critical thinking skills and emotional intelligence.</li>
	<li>Computer literate or must have a willingness to learn.</li>
	<li>Knowledge of Oracle Applications, Workday, Salesforce, AS400, and other software programs desired but not essential.</li>
	<li>Not-for-profit industry experiences desired.</li>
</ul>

<p><u><strong>Benefits:</strong></u><br />
The YMCA of Greater New York offers a variety of benefits to its staff members, including <a href=""http://vimeo.com/ymcaret/review/796614378/c0818767ef"">retirement benefits</a>, medical, paid time off, free YMCA membership, and more! Benefit eligibility is determined by an individual’s employment status (i.e., full-time or part-time), tenure, and/or the number of hours scheduled to work. Click <a href=""http://ymcanyc.org/ymca-career-opportunities-and-job-search/employee-benefits"">here</a> for more information.<br />
<br />
<u><strong>How to Apply:</strong></u><br />
If you would like to be a member of our dynamic team, please complete our <a href=""https://ymcanyc.csod.com/ux/ats/careersite/1/home/requisition/2329?c=ymcanyc"">online application</a> and submit your résumé and a thoughtful cover letter that explains your interest in the role and our organization.</p>
"
 , ,mnikitin@hse.ru, ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (2)",Additional paper (optional),ICEF invites applications for tenure track positions in Finance/Financial Economics. Candidates are expected to have a PhD degree and demonstrate strong research potential.,"<p>The International College of Economics and Finance (ICEF), an autonomous College within the Higher School of Economics in Moscow, is inviting applications for tenure track positions in Finance/Financial Economics (both entry and advanced levels) as well as senior positions with tenure. Candidates from all fields of Finance are welcome.</p>

<p><i><u>About ICEF:</u></i><br />
ICEF is an autonomous division of the leading Russian university, the National Research University – Higher School of Economics (HSE). ICEF was established in 1997 and developed in academic cooperation with the London School of Economics and Political Science (LSE) with the aim to create a world-class college comparable to the top universities in the world. ICEF implements two degree programs – the International Bachelor’s Programme in Economics and Finance and the Master’s Programme in Financial Economics. ICEF is located at a newly renovated HSE campus in the center of Moscow.</p>

<p>Over the years, ICEF has accumulated a staff of highly qualified scholars with PhDs from top universities in the UK, US and Europe (Berkeley, Northwestern, LSE, LBS, Toulouse, etc). Besides teaching, they are engaged in research that has been published in the leading journals in economics and finance, including Review of Economic Studies, Review of Financial Studies, Journal of Economic Theory, etc.</p>

<p>All academic activities at ICEF, including teaching, are in English. Successful candidates are expected to hold a PhD degree in Finance, Financial economics or a related field before taking up the appointment and to demonstrate strong research potential. The successful candidate is expected to produce high-quality research publishable in leading journals in Economics and Finance.</p>

<p><i><u>Benefits:</u></i><br />
Net-of-tax salaries are internationally competitive and commensurate with experience and qualifications. Salaries are indexed to inflation annually. Net The teaching load of faculty members is less than 100 hours per year with a substantial reduction for the first year of employment. Research budget, and support for research-related travel and bonuses for publications are available.</p>

<p><i><u>Submission materials required:</u></i></p>

<p>Curriculum vitae, Job market paper, Additional paper (optional), Cover letter, Letters of reference: 2</p>

<p>For more information about ICEF, please visit the ICEF website https://icef.hse.ru/en/ </p>

<p>For any additional information, please contact Dr. Maxim Nikitin at <a href=""mailto:mnikitin@hse.ru"">mnikitin@hse.ru</a></p>
"
2024-09-27, ,finance@lsu.edu, ,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",Transcript(s),The E.J. Ourso College of Business at Louisiana State University is accepting applications for a tenure-track position at the Assistant Professor level in Finance.,"<p>The E.J. Ourso College of Business at Louisiana State University is accepting applications for a tenure-track position at the Assistant Professor level.  Candidates must be actively involved in academic research, have a strong commitment to produce the highest quality research, publishable in top-tier academic journals.  Candidates will be expected to teach undergraduate and/or graduate level Finance courses.  Teaching load is equivalent to two courses per semester (i.e., four courses per academic year). </p>

<p> </p>

<p><b>Minimum Qualifications:</b></p>

<p> </p>

<p>PhD in Finance or related field.  ABD candidates will be considered.  Degree must be conferred by time of appointment.</p>

<p> </p>

<p><b>Preferred Qualifications:</b></p>

<p> </p>

<p>Demonstrated or have strong potential for outstanding research and commitment to teaching at both the undergraduate and graduate levels.</p>

<p> </p>

<p><b>Special Instructions:</b></p>

<p> </p>

<p>Applications will be accepted until the position is filled but should be received as early as possible to maximize chances of selection.  First round reviews will begin September 27, 2024.  Applications should include a cover letter, a complete CV, three letters of recommendation, a job market paper and any recent publications/working papers.  Research and Teaching statements are optional.</p>

<p> </p>

<p>Please have the three recommendation letters sent to <a href=""mailto:finance@lsu.edu"">finance@lsu.edu</a>.</p>

<p> </p>

<p>A copy of your transcript(s) may be attached to your application (if available).  However, original transcripts are required prior to hire.</p>

<p> </p>
"
2024-11-28,https://recruit.ckgsb.com/apply/,recruit@ckgsb.edu.cn,,"Curriculum Vitae, Job Market Paper/other papers, References (3)",Letters of Recommendation,"CKGSB invites applications for full-time, tenure-track faculty positions in finance at all levels. Applicants must have completed a PhD in Finance or a related discipline by August 2025.","<p><span><span><span><span><span><span>The Cheung Kong Graduate School of Business (CKGSB) invites applications for full-time, tenure-track faculty positions in finance at the level.</span></span></span></span></span></span></p>

<p><span><span><b><span><span><span>ABOUT THE SCHOOL:</span></span></span></b> </span></span></p>

<p><span><span>Established in Beijing in November 2002, CKGSB is China’s first privately-funded and research-driven business school. The school aims to cultivate transformative business leaders with a global vision, sense of social responsibility, innovative mindset, and ability to lead with empathy and compassion. Today, CKGSB stands apart for its full-time, world-class faculty, research excellence, China insights and unparalleled alumni network. More than half of its 40 strong faculty members previously held tenure or senior professorships at top business schools, such as MIT, Wharton, and Yale. CKGSB is also the preferred choice for management education among China’s established business leaders and a new generation of disruptors. More than half of its 22,500 alumni are at the CEO or Chairman level and, collectively, they lead one fifth of China’s 100 most valuable brands. </span></span></p>

<p> </p>

<p><span><span><span>Our school is headquartered in Beijing with campuses in Shanghai and Shenzhen and representatives in London, Paris, New York, Los Angeles, Boston, Hong Kong, and Seoul.</span></span></span></p>

<p><span><span><span>The school is looking for the best candidates with great research potential who are willing to grow with the most exciting business school in China. Both Chinese and non-Chinese scholars are encouraged to apply; fluency in Chinese is not required. The school offers a compensation package that is competitive with the best North American and other leading international business schools. The school also offers generous research support.</span></span></span></p>

<p><span><span><span><b><span><span><span>JOB QUALIFICATIONS:</span></span></span></b></span></span></span></p>

<p><span><span><span><u><span>Full Professor:</span></u></span></span></span></p>

<p><span><span><span>Applicants for a Full Professor level appointment should have a Ph.D. from an accredited institution, an established track record of scholarly research (especially on Chinese market) and publications in top academic journals. The applicant should be able to demonstrate her/his capability to take a leading role in teaching, research and service.</span></span></span></p>

<p><span><span><span><u><span>Associate Professor:</span></u></span></span></span></p>

<p><span><span><span>Applicants for an Associate Professor level appointment should have a Ph.D. from an accredited institution, a documented excellence in research</span><span> (especially on Chinese market) as evidenced by publications in top scholarly journals, and must be engaged in important ongoing research, and have demonstrated effectiveness in teaching.</span></span></span></p>

<p><span><span><span><u><span>Assistant Professor:</span></u></span></span></span></p>

<p><span><span><span>All candidates must have completed a PhD in Finance or a related discipline by August 2025. Candidates must have a demonstrated interest in pursuing first-rate research and teaching in the field of finance and have evidence of successful research activity and teaching.</span></span></span></p>

<p><span><span><span><b><span><span><span>APPLICATION PROCEDURE</span></span></span></b><span><span><span>: </span></span></span></span></span></span></p>

<p><span><span><span><span><span><span>All applications must include a CV, an example of working papers or publications, references, and three letters of recommendation. To give full consideration, the full package of application must be received by <b>November 28, 2024</b>. Application Deadline: 11/28/2024<br />
Send electronic application materials to the following online address: </span></span></span><span><a href=""https://recruit.ckgsb.com/apply/"">https://recruit.ckgsb.com/apply/</a> </span></span></span></span></p>

<p><span><span><b><span><span>SALARIES:</span></span></b></span></span></p>

<p><span><span><span><span><span>The school offers competitive salaries with benefits packages. </span></span></span></span></span></p>

<p> </p>

<p><span><span><b><span><span>FURTHER INFORMATION: </span></span></b></span></span></p>

<p><span><span><span><span><span>Questions should be addressed to </span></span></span><a href=""mailto:recruit@ckgsb.edu.cn""><span><span>recruit@ckgsb.edu.cn</span></span></a> </span></span></p>

<p><span><span><span><span><span>For information on the Cheung Kong Graduate School of Business, please visit our website: </span></span></span><a href=""https://www.ckgsb.edu.cn/""><span><span>https://www.ckgsb.edu.cn/</span></span></a></span></span></p>

<p><span><span><a href=""https://english.ckgsb.edu.cn/""><span><span>https://english.ckgsb.edu.cn/</span></span></a></span></span></p>

<p> </p>
"
