Deadline,AFADeadline,Organisation,Title,Location,App_link,App_email,Required_Docs,Other_Docs,Summary,App_JobID,source,Link,timestamp
2024-12-01,2024-12-20,Stern at NYUAD,"Assistant Professor of Finance, Tenure-track - Stern at NYUAD",AE,https://nyuad.nyu.edu/en/,[faculty.affairs@sternad.nyu.edu](mailto:faculty.affairs@sternad.nyu.edu),"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, Research Statement, Teaching Statement",Recent teaching evaluations (if available),NYU Abu Dhabi invites applications for a tenure-track Assistant Professor in Finance for Stern School of Business at NYU Abu Dhabi., ,AFA,https://careers.afajof.org/job/322795,2024-10-28T13:36:01.415
2024-12-24,2024-12-24,Kennesaw State University,Assistant Professor of Finance,"Kennesaw, Georgia, US",<https://hr.kennesaw.edu/careers.php>, ,Curriculum Vitae,"Cover Letter, Research Statement, Teaching Statement, Job Market Paper/other papers, References (3)","Kennesaw State University is accepting applications for a full-time, tenure track Assistant Professor of Finance position with a preferred start date of August 2025.",276787,AFA,https://careers.afajof.org/job/322818,2024-10-28T13:36:01.415
2025-01-20,2024-12-24,University of Reading,Associate Professor in Finance,"Reading, Berkshire, GB",https://jobs.reading.ac.uk/Job/JobDetail?isPreview=Yes&amp;jobid=13819&amp;advert=external,r.s.tunaru@icmacentre.ac.uk,,,The ICMA Centre at Henley Business School seeks to appoint an outstanding Associate Professor of Finance with a PhD in finance and teaching qualification. Candidates should have experience publishing in top level journals and teaching at undergraduate and postgraduate level.,SRF47139 - R1,AFA,https://careers.afajof.org/job/322817,2024-10-28T13:36:01.415
2024-12-01,,Boston University,Assistant Professor of Finance,"Boston, Massachusetts. United States",https://academicjobsonline.org/ajo/jobs/29049,questromfe@bu.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,The Questrom School of Business at Boston University invites applications for a tenure-track Assistant Professor in the Department of Finance.,J16123,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16123,2024-10-28T13:35:57.299
,,University of Wisconsin-Madison,Associate or Full Professor of Real Estate & Urban Land Economics,"Madison, Wisconsin. United States",[https://jobs.wisc.edu/jobs/full-or-associate-professor-of-real-estate-urban-land-economics-madison-wisconsin-united-states-51273dcf-2578-4c38-ad1d-838f75aedff1](https://jobs.wisc.edu/jobs/full-or-associate-professor-of-real-estate-urban-land-economics-madison-wisconsin-united-states-51273dcf-2578-4c38-ad1d-838f75aedff1),Dswagner2@wisc.edu,,,The Department of Real Estate & Urban Land Economics at the Wisconsin School of Business invites applications for tenure-track and/or tenured positions (Associate or Full Professor) beginning in August 2025. They seek a visionary leader whose expertise will drive the integration of Artificial Intelligence (AI) into real estate finance and urban economics research and education.,J16112,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16112,2024-10-28T13:35:57.299
2025-08-01,,University of Wisconsin-Madison,Associate or Full Professor of Real Estate & Urban Land Economics,"Madison, Wisconsin. United States",https://jobs.wisc.edu/jobs/full-or-associate-professor-of-real-estate-urban-land-economics-madison-wisconsin-united-states,dswagner2@wisc.edu,Curriculum Vitae,,The Wisconsin School of Business invites applications for tenure-track and/or tenured positions in real estate finance and/or household finance.,J16113,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16113,2024-10-28T13:35:57.299
,,University of Wisconsin-Madison,Assistant Professor of Real Estate & Urban Land Economics,"Madison, Wisconsin. United States",https://jobs.wisc.edu/jobs/assistant-professor-of-real-estate-urban-land-economics-madison-wisconsin-united-states,Dswagner2@wisc.edu,"Cover Letter, Curriculum Vitae, Research Statement, Teaching Statement",,"Tenure-track Assistant Professor position at the Wisconsin School of Business, seeking a junior scholar to integrate AI into real estate finance and urban economics research and education.",J16111,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16111,2024-10-28T13:35:57.299
,,University of Houston,Assistant Professor – Sustainable Energy and the Energy Transition,"Houston, Texas. United States",https://www.bauer.uh.edu/departments/finance/faculty/recruiting/,kjacobs@bauer.uh.edu,Curriculum Vitae,,The University of Houston seeks a tenure-track Assistant Professor in sustainable energy finance.,J16110,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16110,2024-10-28T13:35:57.299
,,Imperial College London,Associate/Full Professor of Accounting,"London, United Kingdom",<https://www.imperial.ac.uk/jobs/search-jobs/description/index.php?jobId=20889&jobTitle=Associate%2FFull+Professor+in+Accounting+>,support.jobs@imperial.ac.uk,"Curriculum Vitae, Job Market Paper/other papers",,"Imperial College is seeking Associate/Full Professors in Accounting with a proven track record of institution building, service, and exceptional scholarship.",J16109,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16109,2024-10-28T13:35:57.299
,,IÉSEG School of Management,"FINANCE: 2 PROFESSORS (ASSISTANT, ASSOCIATE OR FULL)","Paris or Lille, France",https://recruitment.ieseg.fr/jobs/5118495-finance-2-assistant-associate-full-professors?promotion=1200552-trackable-share-link-ssrn,permanentfaculty.recruitment@ieseg.fr,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Research Statement, Teaching Evaluation, Teaching Statement",,"Apply for a Finance professor position at IÉSEG School of Management. Positions available at Assistant, Associate, or Full Professor level. Strong publication record required. Teaching experience and fluency in English required.",J16103,SSRN,https://www.ssrn.com/index.cfm/en/janda/job/?id=16103,2024-10-28T13:35:57.299
