Deadline,AFADeadline,Organisation,Title,Location,App_link,App_email,Required_Docs,Other_Docs,Summary,App_JobID,source,Link,timestamp
2025-03-06,2025-03-06,Cornerstone Research,Summer Associate,"San Francisco, California, US", , , , , , ,AFA,https://careers.afajof.org/job/322336,2024-10-23T20:24:49.731
,2025-03-10,Cornerstone Research,Senior Economist,"New York City, New York, US",https://grad-chire.icims.com/jobs/3616/senior-economist/job,,"Cover Letter, Resume (Curriculum Vitae), Sample Research Paper (Job Market Paper/other papers)",,"This application is for a Senior Economist position at Cornerstone Research. The role involves applying academic research to real-world issues, presenting concise explanations of complex analyses, and independently managing projects and junior staff.",,AFA,https://careers.afajof.org/job/322592,2024-10-23T20:24:49.731
,2024-11-16,Iowa State University,Assistant Professor of Finance,"Ames, Iowa, US",https://www.ivybusiness.iastate.edu/about-ivy/academic-departments/finance/,,"Cover Letter, Curriculum Vitae, References (3)",Writing Samples,This application is for a tenure-track Assistant Professor faculty member in the Finance department at Iowa State University.,,AFA,https://careers.afajof.org/job/322786,2024-10-23T20:24:49.731
2024-12-20,2024-12-13,PCAOB,2025-2026 PCAOB Economic Research Fellowship ,US,,ERA@pcaobus.org,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,This application is for the Economic Research Fellowship at the PCAOB. The position involves working with staff on projects and developing publishable economic research.,,AFA,https://careers.afajof.org/job/322779,2024-10-23T20:24:49.731
,2024-11-03,University of Michigan Ross School of Business,Assistant Professor of Finance ,"Ann Arbor, Michigan, US",,,"Cover Letter, Curriculum Vitae, Diversity Statement",,"The University of Michigan has multiple tenure-track positions available in Finance starting in September 2025. Research, teaching, and service contributions are required.",,AFA,https://careers.afajof.org/job/322748,2024-10-23T20:24:49.731
2024-11-28,2024-11-28,School of Finance Renmin University of China ,Lecturer/Associate Professor,CN,https://zhaopin.ruc.edu.cn/hire/hireNetPortal/search_zp_position.do?b_posDesc=link&posID=&z0301=~31~30~33~30~32~38~34~35&posName=^6559^5e08^5c97^4f4d&unitName=%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E5%A4%A7%E5%AD%A6&returnType=1&selunitcode=RUC,cjban@ruc.edu.cn,"Cover Letter, Curriculum Vitae (English and Chinese), Evidence of teaching effectiveness, Job Market Paper/other papers, References (3)",,"This application is for the Lecturer/Associate Professor positions in Financial Technology, Corporate Finance, Macro Finance, Public Finance, Public Economics and Fiscal Policy at School of Finance, Renmin University of China. It is a junior or senior position.", ,AFA,https://careers.afajof.org/job/322732,2024-10-23T20:24:49.731
,2024-11-12,"Business School, Sun Yat-sen University",Tenure-track Faculty Positions Vacancy!,CN,bsjob@mail.sysu.edu.cn,bsjob@mail.sysu.edu.cn,"Cover Letter, Current Resume, Evidence of teaching effectiveness, References (3), Sample of current research",,"This application is for tenure-track faculty positions at Sun Yat-sen University's Business School in Shenzhen, with a focus on Theoretical Economics and Business Administration.",,AFA,https://careers.afajof.org/job/322656,2024-10-23T20:24:49.731
,2025-03-06,Cornerstone Research,Associate,"New York City, New York, US",https://grad-chire.icims.com/jobs/3483/associate---phd/job,associate-recruiting@cornerstone.com,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"This application is for a non-tenure track Associate position at Cornerstone Research, requiring a Ph.D. in economics, finance, accounting, or marketing.",,AFA,https://careers.afajof.org/job/322657,2024-10-23T20:24:49.731
2024-11-22,2024-11-22,BI Norwegian Business School,Faculty positions in Finance,NO,mailto:financerecruiting@bi.no,financerecruiting@bi.no,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers",References (3),This application is for a tenure-track faculty position in Finance at BI Norwegian Business School. It requires a Ph.D. and research publications.,,AFA,https://careers.afajof.org/job/322803,2024-10-23T20:24:49.731
2024-11-30,2024-11-30,Korea Institute of Finance (KIF),Research Fellow,KR,mailto:recruit_doc@kif.re.kr,recruit_doc@kif.re.kr,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,"This application is for a research fellow position in economics, finance, or related fields at the Korea Institute of Finance.",,AFA,https://careers.afajof.org/job/322793,2024-10-23T20:24:49.731
,2024-11-20,"Guanghua School of Management, Peking University",Assistant/Associate/Full Professor of Finance,CN,https://en.gsm.pku.edu.cn/Faculty_Research/Faculty_Recruitment/Postdoctoral_Recruitment.htm,recruitment@gsm.pku.edu.cn,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"Postdoctoral position available in finance and related fields at Guanghua School of Management, Peking University. Competitive salary and benefit packages.",,AFA,https://careers.afajof.org/job/322800,2024-10-23T20:24:49.731
,2024-10-30,Radancy,"IT, Multiple Positions","Burlington, Massachusetts, US",https://jobs-microsoft.icims.com/jobs/40031/go/job,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3)",,This application is for a non-tenure track position at Microsoft Corporation. It may require travel and/or permit telecommuting.,,AFA,https://careers.afajof.org/job/322798,2024-10-23T20:24:49.731
2024-12-15,2024-12-19,"School of Political Science and Economics, National Taiwan University",Tenure-Track Assistant / Associate Professor / Professor of Finance,TW,,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers","Research Papers, Transcripts, References (3)","Tenure-track faculty position in finance at all levels. Ph.D. required by July, 2025.",,AFA,https://careers.afajof.org/job/322792,2024-10-23T20:24:49.731
2025-02-11,2024-12-17,Wenzhou-Kean University,2025 Finance Assistant/Associate Professor,CN,https://apply.interfolio.com/156128,,"Cover Letter, Curriculum Vitae, References (3), Research Statement, Teaching Statement, Unofficial Transcripts",,"Full-time tenure-track Assistant/Associate Professor in Finance position available at Wenzhou-Kean University, with focus on research and teaching.",,AFA,https://careers.afajof.org/job/322770,2024-10-23T20:24:49.731
2024-12-02,2024-12-17,"University of Minnesota, Carlson School of Management",Tenure-Track Assistant Professor,"Minneapolis, Minnesota, US",https://hr.umn.edu/Jobs/Find-Job#364929,csomfina@umn.edu,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers, References (3), Teaching Statement",,"This application is for a tenure-track position in finance at the Carlson School of Management, University of Minnesota.",#364929,AFA,https://careers.afajof.org/job/322788,2024-10-23T20:24:49.731
2024-11-15,2024-11-16,"Sauder School of Business, Finance Division, University of British Columbia",UBC Sauder School of Business - Tenure Track Position - Finance,"Vancouver, British Columbia, CA",https://www.econjobmarket.org/,,"Cover Letter, Curriculum Vitae, Job Market Paper/other papers (2), Record of Teaching Effectiveness, References (3)",,"Faculty position in Finance at UBC Sauder School of Business, tenure-track or Associate Professor, research-intensive university.",,AFA,https://careers.afajof.org/job/322787,2024-10-23T20:24:49.731
